Energia;Anio;Generación (MM)
Coal;2012;1645.2
Coal;2013;1503.5
Coal;2014;1156.0
Coal;2015;892.1
Coal;2016;333.4
Coal;2017;247.1
Coal;2018;184.1
Coal;2019;38.8
Nuclear;2012;790.9
Nuclear;2013;788.2
Nuclear;2014;715.2
Nuclear;2015;786.7
Nuclear;2016;796.9
Nuclear;2017;786.1
Nuclear;2018;727.0
Nuclear;2019;355.0
Ccgt;2012;995.2
Ccgt;2013;956.8
Ccgt;2014;1035.5
Ccgt;2015;1010.0
Ccgt;2016;1519.1
Ccgt;2017;1434.5
Ccgt;2018;1383.8
Ccgt;2019;856.7
Wind;2012;151.1
Wind;2013;222.8
Wind;2014;253.4
Wind;2015;280.0
Wind;2016;252.9
Wind;2017;387.6
Wind;2018;472.5
Wind;2019;293.6
Pumped;2012;34.9
Pumped;2013;33.5
Pumped;2014;33.4
Pumped;2015;32.1
Pumped;2016;34.2
Pumped;2017;33.1
Pumped;2018;28.5
Pumped;2019;11.8
Hydro;2012;39.2
Hydro;2013;34.9
Hydro;2014;47.0
Hydro;2015;49.0
Hydro;2016;40.3
Hydro;2017;48.0
Hydro;2018;38.4
Hydro;2019;22.5
Biomass;2012;25.0
Biomass;2013;46.0
Biomass;2014;89.4
Biomass;2015;135.1
Biomass;2016;169.5
Biomass;2017;170.9
Biomass;2018;193.1
Biomass;2019;116.1
Solar;2012;0.0
Solar;2013;0.0
Solar;2014;0.0
Solar;2015;0.0
Solar;2016;18341.0
Solar;2017;126005.9
Solar;2018;118095.9
Solar;2019;73747.3
